tweet,channel,apple,tesla,google
"2/ Forbes' full #Cloud100 list, a ranking of the world's top private cloud companies, is out now:   https://t.co/toQEDMAT5M",forbes,0,0,0
1/ Cofounders George Fraser and Taylor Brown pulled off a “rabbit out of a hat” deal to make their data company viable—raising $565 million within 72 hours to acquire a competitor.  @KenrickCai on #Cloud100 company @fivetran's path to viability:   https://t.co/4JF2TyDya4,forbes,0,0,0
AI Ethics Mulling Over The Merits Of Legally Mandating Atonement Funds To Ensure Accountability For AI Acting Badly  https://t.co/7cXLgAEe16  https://t.co/bzjZvkXid1,forbes,0,0,0
Urbanista Launches World’s First Solar-Powered Earbuds Using Powerfoyle Technology  https://t.co/btpjba9pvZ  https://t.co/LYn7vDaFKD,forbes,0,0,0
"Windows 10, 11 &amp; Server Zero-Day Attacks Underway, Microsoft Says  https://t.co/eW324Dfu5g  https://t.co/FC0K07YgMg",forbes,0,0,0
Lexar Announces World’s Fastest CFexpress Card And Reader  https://t.co/Y2gSZ6PN4k  https://t.co/xFiSiVqECM,forbes,0,0,0
"Forbes' annual #Cloud100 list of the world's top private cloud companies is out today ☁️  @stripe, @databricks and @canva return atop this year's list, but there's a surprise at No. 4.  Read the full list here, edited by @alexrkonrad:   https://t.co/kK1s6pTmjH",forbes,0,0,0
"Correction: The cops obtained the teen's Facebook DMs using a search warrant, not a subpoena.",forbes,0,0,0
YC-Backed Kaedim Helps Game Developers Generate 3D Models Using AI  https://t.co/IceVLLeOHJ  https://t.co/h5GlrIus6x,forbes,0,0,0
Apple Could Release iPhone 14 And iPhone 14 Pro Sooner Than Expected  https://t.co/z8DtsmxFzJ  https://t.co/KTaPsw1Swd,forbes,1,0,0
"Nebraska cops subpoenaed a teen's Facebook DMs where she and her she and her mother allegedly discussed the teen undergoing a self-managed abortion. Now, they're both facing criminal charges.  Story by @ebakerwhite + @SarahNEmerson    https://t.co/x1zGF7sncs",forbes,0,0,0
How The Hottest VC-Backed Cloud Data Companies Are Prepping For The Funding Winter  https://t.co/lY3xeUEBu4  https://t.co/VqCmjWGTpT,forbes,0,0,0
"On our latest podcast: @emilychangtv breaks down why Peloton wants customers to assemble their own bikes at home. Plus, activist investor Dan Loeb is calling for changes at Disney, and Google Maps misleads people searching for abortion clinics  https://t.co/2zqbQ2IvF3",bloomberg,0,0,1
EXCLUSIVE: Singapore's leader-in-waiting @LawrenceWongST says the relationship between the US and China is on a “very worrying” trajectory in the wake of Nancy Pelosi's visit to Taiwan and China’s military drills.  https://t.co/iJWXUxYiRy  https://t.co/y7BMbFWLCF,bloomberg,0,0,0
JUST IN: Food-delivery giant Meituan plunges 10% on a report that Tencent plans to sell all or most of its $24 billion stake  https://t.co/OdRKWC6O5q,bloomberg,0,0,0
"EXCLUSIVE: How likely is a Chinese invasion of Taiwan? Singapore's leader-in-waiting says “no one deliberately wants to go into battle, but we sleepwalk into conflict”  https://t.co/k2e1ULz5tw via @BloombergTV  https://t.co/lAIe3k4jff",bloomberg,0,0,0
Chipmakers are bracing for a shift as a record-setting sales surge threatens to give way to the worst decline in a decade or more  https://t.co/sztpDfmo7F,bloomberg,0,0,0
EXCLUSIVE: Singapore’s next prime minister Lawrence Wong signals that the wealthy may face more taxes.  “Everybody pays some form of taxes but certainly the ones with greater means — the rich and the higher-income — will have to pay more.”  https://t.co/n1PL936wqQ  https://t.co/tHsPz7L0Qo,bloomberg,0,0,0
"About 100 Apple contract workers were let go in a rare move for the world’s most valuable company, sources say  https://t.co/MLfugrzKeE  https://t.co/plIgWsoyr7",bloomberg,1,0,0
"EXCLUSIVE: Apple lays off contract recruiters in a rare move, as it reins in spending and hiring, sources say  https://t.co/0J6J7mmHqK  https://t.co/lpHmN7KPLl",bloomberg,1,0,0
"Will Disney spin off ESPN like activist investor Dan Loeb is suggesting?  ""It’s always good to stir the pot – but if I were Bob Chapek: I’m keeping ESPN,"" says Insider Intelligence’s Paul Verna. He weighs in with @LianaBaker and @emilychangtv  https://t.co/7CHDqkeYpa  https://t.co/JFJEhnehWD",bloomberg,0,0,0
Hanwha QCells — one of the few solar-panel makers with US production — is considering sites for a massive new facility as the country prepares to incentivize cleantech manufacturing  https://t.co/0DC398352y,bloomberg,0,0,0
Enlight Renewable Energy plans to create a joint venture with Israeli natural gas producer NewMed Energy that will develop renewable energy projects in North Africa and the Middle East  https://t.co/sIWieoZhxG,bloomberg,0,0,0
Meta’s proposed acquisition of a virtual reality company is headed for a court showdown in December in the FTC’s first preemptive challenge to a takeover by the tech giant  https://t.co/byeJOFholm,bloomberg,0,0,0
"Uber is increasing rates across the UK, with an average 5% increase in London fares, as the ride-hailing company works to attract more drivers  https://t.co/bdDLtkJX77",bloomberg,0,0,0
"The recent crypto rally is cooling as optimism for Ethereum’s upcoming software upgrade slows, with a resulting drop in Bitcoin and Ether  https://t.co/4USzADXQv7",bloomberg,0,0,0
"HBO is firing about 70 workers, or roughly 14% of its staff, the latest round of cutbacks after its parent company merged with Discovery  https://t.co/sYOngIWBio",bloomberg,0,0,0
The United Arab Emirates is turning to vertical farming and hydroponics to produce food for local livestock (via @climate)  https://t.co/ILZrAPgzX9,bloomberg,0,0,0
"California and parts of the Pacific Northwest face near-record heat this week as a high-pressure dome builds across the region, taxing power supplies as residents crank air conditioners  https://t.co/uDaMZWiyYm",bloomberg,0,0,0
"Crypto venture Dragonfly announced an acquisition of long-standing fund MetaStable along with its completion of rebranding, despite an overall bear market  https://t.co/zzK8eN5iXM",bloomberg,0,0,0
"A modern nuclear war would kill 5 billion people, with the impact of a global famine likely to far exceed the casualties caused by lethal blasts  https://t.co/AUbyx4746F",bloomberg,0,0,0
British scientists manage to change the blood type in three donor kidneys in a breakthrough that could potentially speed up transplants for patients with less common blood types  https://t.co/LN4G7iwTYF,bloomberg,0,0,0
Adam Neumann's new residential real estate company is getting a big financial commitment from venture capital powerhouse Andreessen Horowitz  https://t.co/KxPGEpvSid,bloomberg,0,0,0
Bill Gates-founded TerraPower raised another $750 million for its work to develop smaller and cheaper nuclear reactors (via @climate)  https://t.co/e6tOBTlctF,bloomberg,0,0,0
A senior research fellow at the Oxford Institute of Energy Studies discusses how much further electric-car charging has to go  https://t.co/RGdaxJkUEY,bloomberg,0,0,0
"Unity Software rejected an unsolicited proposal to merge with AppLovin in an all-stock deal, keeping it on track to buy competitor IronSource  https://t.co/PWWrvUBzIa",bloomberg,0,0,0
"The company behind Singapore's mixed martial arts brand One Championship, is considering a US IPO after previously exploring a listing via a SPAC  https://t.co/zuinLQVMUa",bloomberg,0,0,0
"The CEO of troubled crypto exchange Zipmex, Marcus Lim, is under pressure from some current and potential investors to step down  https://t.co/Nnj5C3zeaJ",bloomberg,0,0,0
"Mike Novogratz’s Galaxy Digital said it’s terminating its acquisition of BitGo in a $1.2 billion deal, citing the crypto custody firm’s failure to deliver audited 2021 financial statements by a deadline  https://t.co/n0YvnXGulC",bloomberg,0,0,0
"Searching for an abortion clinic on Google Maps often leads people to anti-abortion organizations with no medical license, which aim to convince people to keep their pregnancies going  https://t.co/nGKViFZfHF",bloomberg,0,0,1
"With everything from once-high-flying software companies to behemoths mired in losses this year, investors looking to make money in tech-related stocks have found a surprising winner — T-Mobile  https://t.co/doVJsfKITr",bloomberg,0,0,0
Ola founder Bhavish Aggarwal unveils plans to enter the electric-car market in competition with local giants like Tata Group and global automakers from Hyundai to Tesla  https://t.co/3ZFaSWW7mu,bloomberg,0,1,0
"Exclusive reporting on all things audio.   Introducing Soundbite, our new newsletter with Ashley Carman. Sign up here  https://t.co/JwxTZnjpY7  https://t.co/uv0HwUC0YT",bloomberg,0,0,0
Check out the latest Power On from @markgurman:  https://t.co/QnnF8g0Xdy  https://t.co/bI8UTyqi5I,bloomberg,0,0,0
Apple is bringing more ads to your iPhone as the tech giant looks for another big source of revenue  https://t.co/QnnF8g0Xdy,bloomberg,1,0,0
"While Google does have a history of A/B testing designs to death, the new Gmail feels more modern and smoother  https://t.co/tzFWm47cUU",bloomberg,0,0,1
Launching soon: Our newsletter on the music and podcasting worlds.  Subscribe to Ashley Carman's Soundbite  https://t.co/t7tlVar42O  https://t.co/5jQTPTWAzs,bloomberg,0,0,0
The Inflation Reduction Act is a climate investment with no parallel in US history (via @climate)  https://t.co/xtOHh44WjF,bloomberg,0,0,0
"Exclusive reporting on all things audio.   Introducing Soundbite, our new newsletter with Ashley Carman. Sign up here  https://t.co/yOg2DIwedr  https://t.co/EyBaQJTboY",bloomberg,0,0,0
"On our latest podcast: @edludlow, in for @emilychangtv, breaks down why the Nasdaq is at its highest levels since April 15, and dives into next week's big retail earnings results. Plus, a look at Congress's landmark climate and health bill  https://t.co/C3Cg5N4HiV",bloomberg,0,0,0
Launching soon: Our newsletter on the music and podcasting worlds.  Subscribe to Ashley Carman's Soundbite  https://t.co/H9IsCfwX3t  https://t.co/NyScm7otpE,bloomberg,0,0,0
"Asia is among the worst offenders when it comes to food waste, and startups are hoping to fix the problem by selling deeply discounted meals through apps  https://t.co/PSie1Sasaq",bloomberg,0,0,0
"Ukrainian farm company HarvEast says Russia stole as much as 200,000 tons of crops from its farms in eastern occupied areas  https://t.co/HFzZ66TaTl",bloomberg,0,0,0
"The back-to-school shopping season has kicked off strongly, offering some relief amid concerns about US consumer resilience, according to Bank of America  https://t.co/0XGlQ5cL6A",bloomberg,0,0,0
⚡️🚲 https://t.co/2sewnU0PhE,bloomberg,0,0,0
@business Full memo from CEO Barry McCarthy to employees here:  https://t.co/SacnhXgHZK  https://t.co/n40JwxzZ9S,bloomberg,0,0,0
"Barry McCarthy, Peloton’s CEO, sent employees a memo on the changes that was obtained by Bloomberg News.   Read it here:  https://t.co/31soEHlfil  https://t.co/Kv3oSIkzEi",bloomberg,0,0,0
"""I’m writing to update all of you on Peloton’s ongoing transformation...""  https://t.co/vaOejmmlBS",bloomberg,0,0,0
"BREAKING: Peloton to cut 800 jobs, hike prices and shut stores in shake-up  https://t.co/ETb9RWnsHd",bloomberg,0,0,0
"Next week, Tencent will seek to assure investors about its outlook during second-quarter results. They won’t be easy to convince  https://t.co/8BmAM89deG",bloomberg,0,0,0
"Africa’s biggest wireless market is moving ahead with a proposed 5% tax on voice calls, mobile data and text messages to tackle a mounting fiscal crisis  https://t.co/pV5BnJ3n7e",bloomberg,0,0,0
"Italy’s far-right Brothers of Italy party, which is leading polls ahead of snap elections next month, is promoting a plan to take Telecom Italia private  https://t.co/yRSZ4LKr4M",bloomberg,0,0,0
Spanish football club FC Barcelona is selling an additional stake in its audiovisual content hub in a further effort to shore up its battered finances  https://t.co/dCIEb4RjJM,bloomberg,0,0,0
"The South African government gets an unsolicited bid for its 40.5% stake in Telkom, following an announcement that MTN Group is planning to acquire part of the carrier  https://t.co/LSPCAF7o7y",bloomberg,0,0,0
"Taiwan cut its forecast for 2022 growth for a second time as slowing global demand for electronics, high inflation and rising geopolitical pressure from China cloud the economy’s outlook  https://t.co/c1sC6ePSWP",bloomberg,0,0,0
"Dutch authorities arrest a man suspected of being involved with Tornado Cash, the cryptocurrency mixing service that was hit with US sanctions earlier this week  https://t.co/MbKAxuG16x",bloomberg,0,0,0
"Huawei reports its first quarterly sales rise since the end of 2020, as the Chinese telecom gear giant fights to survive the US blacklisting that sank its smartphone business  https://t.co/MHHgaZ5TbU",bloomberg,0,0,0
Crypto futures and options are flashing a warning for Ethereum: The upcoming upgrade could be a “sell-the-news”-type of situation  https://t.co/vQoYKhS5nC,bloomberg,0,0,0
Flutter says up to 200 jobs are at risk  https://t.co/igVegNmg8Y,bloomberg,0,0,0
The numbers are grim  https://t.co/SwMqSIh3Ac,bloomberg,0,0,0
"The South African government gets an unsolicited bid for its 40.5% stake in Telkom, following an announcement that MTN Group is planning to acquire part of the carrier  https://t.co/X3bJQUqg6L",bloomberg,0,0,0
Shares of digital payments provider Paytm dropped the most in a fortnight after a proxy advisory firm asked shareholders to replace founder Vijay Shekhar Sharma as the company’s CEO  https://t.co/NBI0kh5VhP,bloomberg,0,0,0
South Korea’s biggest electric-car battery makers and Hyundai have expressed concern over new US legislation aimed at boosting domestic production of EVs and reducing the use of Chinese materials  https://t.co/QudFI4pNsq,bloomberg,0,0,0
"Apple MacBook assembler Quanta Computer says its Shanghai campus recovered from Covid-related disruptions more slowly than expected, halving its profit  https://t.co/J0cpyFFH9z",bloomberg,1,0,0
"Investors are enthusiastic about the US climate bill’s impact on renewable energy, EVs and Fortune 500 companies  https://t.co/hFklMGUAQr",bloomberg,0,0,0
"On our latest podcast: @emilychangtv breaks down the latest from Pinterest's quarterly earnings and how e-commerce platforms need to adapt to changes in shopping and advertising trends. Plus, a conversation with Marqeta's outgoing CEO Jason Gardner  https://t.co/MmzQY8jBDa",bloomberg,0,0,0
Masayoshi Son has now lost more than $4 billion on a series of side deals he set up at SoftBank to boost his compensation  https://t.co/hZU8kMWsn9,bloomberg,0,0,0
"Kristen Helton, who ran one of Amazon’s most important health-care initiatives, is on a break that began earlier this summer  https://t.co/zVDh8gvRMj",bloomberg,0,0,0
"JUST IN: Samsung heir Jay Y. Lee is pardoned by South Korea of bribery charges, allowing him to retake the reins of the country's largest conglomerate  https://t.co/bhfaFJy997",bloomberg,0,0,0
"Exclusive reporting on all things audio.   Introducing Soundbite, our new newsletter with Ashley Carman. Sign up here  https://t.co/q7w2SDjau7  https://t.co/40PXo5JdgS",bloomberg,0,0,0
"How Pinterest's new CEO plans to harness its ""superpowers""  EXCLUSIVE: Bill Ready talks to @emilychangtv about his first 30 days on the job, the biggest opportunities for innovation, and Elliott's large stake in the company  https://t.co/Ze2jNja9AP  https://t.co/Tqxs3vv2h0",bloomberg,0,0,0
"Outgoing Marqeta CEO's advice for other founders? ""Be selfless.""  He tells @emilychangtv how to decide it's time to step aside  https://t.co/27WlbieTKw  https://t.co/1jTz4RcM4u",bloomberg,0,0,0
Lake Erie Energy Development may resume its long-stalled efforts to build the first offshore wind project in the US Great Lakes after the Ohio Supreme Court rejected a challenge to its permit  https://t.co/9a7JAAcUJL,bloomberg,0,0,0
Spain is betting that greater solar generation will ease its dependence on volatile commodity markets  https://t.co/Dlu6AceiAP,bloomberg,0,0,0
"The opportunity to claim a slice of the hydrogen market is too tempting to miss for Saudi Arabia, which built its fortunes on pumping oil (via @climate)  https://t.co/J0jN77Nvo0",bloomberg,0,0,0
England suffered its driest July since 1935 and the stark reality of not having enough water is raising questions about the amount of water wasted through leaks (via @climate)  https://t.co/B0c8eXPEf6,bloomberg,0,0,0
The FTC is seeking public feedback on a proposed rulemaking to limit what it’s dubbed “commercial surveillance” by businesses that sell or share information collected about people  https://t.co/nvLb3HbzMn,bloomberg,0,0,0
Europe's car industry could be headed for a crash as rising interest rates and inflation add to supply issues  https://t.co/l35riZFuiv,bloomberg,0,0,0
Two years ago the UK’s data protection watchdog introduced rules designed to protect children from predatory data harvesting. Actions taken so far: 0  https://t.co/47mF54jOki,bloomberg,0,0,0
Elon Musk’s SpaceX won certification from the Pentagon’s Space Force to use recyclable boosters on its Falcon Heavy rocket to launch top-secret spy satellites  https://t.co/p0DuwVULcj,bloomberg,0,0,0
"Crypto lender Antalpha, which has ties to Chinese mining rig giant Bitmain, is offering cheap loans to distressed Bitcoin miners that face billions of debt  https://t.co/hcjEBIeIfB",bloomberg,0,0,0
Credit Suisse files for permission to kick-off a long-anticipated lawsuit against SoftBank which it blames in part for losses from the collapse of finance firm Greensill Capital  https://t.co/PHwiL9hiVQ,bloomberg,0,0,0
South Korean prosecutors made their first arrests in a probe of $3.4 billion worth of foreign-exchange transactions for possible links to illegal cryptocurrency-related activities  https://t.co/o5A66opH1l,bloomberg,0,0,0
South African internet provider Rain proposes a merger with larger rival Telkom in a challenge to a takeover proposal from MTN Group  https://t.co/DlFNaPg9yb,bloomberg,0,0,0
SMIC's net income beat analysts' estimates after advances in technology helped cushion the impact from US sanctions  https://t.co/5ZUHhHdXpx,bloomberg,0,0,0
The Philippine central bank will close its regular application window for new virtual asset service provider licenses for three years beginning September  https://t.co/Si9moDjS5M,bloomberg,0,0,0
"The grimly complicated Nebraska case makes it hard to predict much about tech’s role in future abortion-related prosecutions, but it does offer some hints  https://t.co/HZAnYcOLqT",bloomberg,0,0,0
"The Bay Area is still a magnet, but Singapore, Rotterdam and Calgary all have potential to become climate tech hubs  https://t.co/eTLVib1uQZ",bloomberg,0,0,0
"On our latest podcast: @emilychangtv breaks down the latest with Disney's earnings report, and dives deeper into why Elon Musk has unloaded nearly $32 billion in Tesla stock since November. Plus: her exclusive interview with Roblox's CEO on their earnings  https://t.co/xqWWKrUNNx",bloomberg,0,1,0
"A digitally ""immersive"" future is coming, says Roblox CEO David Baszucki in an exclusive post-earnings interview.  He tells @emilychangtv why he wants people to understand the metaverse ""is just a continuation of communication technology""  https://t.co/6cMcTLjgdZ  https://t.co/tEcCVufn3v",bloomberg,0,0,0
"""YouTube Shorts has become the garbage hole of hell. I don't want my kids watching garbage hole content.""  Gerber Kawasaki’s Ross Gerber speaks to @emilychangtv about the future of streaming, Disney earnings and more  https://t.co/fGqbZhInba  https://t.co/h3zcvmnWTd",bloomberg,0,0,0
"This is ""harassment"" says David Sacks to @emilychangtv, as he holds up a subpoena from Twitter's lawyers for the Musk trial  https://t.co/SQfCwbWyKj  https://t.co/TWpkA11pEQ",bloomberg,0,0,0
Launching soon: Our newsletter on the music and podcasting worlds.  Subscribe to Ashley Carman's Soundbite  https://t.co/wXMMJy6uex  https://t.co/2bzsmtFQJ3,bloomberg,0,0,0
"Floods, droughts and food-supply snafus are making China more wary of wind and solar developments that eat up farmland (via @climate)   https://t.co/Ss7R6lSWlt",bloomberg,0,0,0
Lenders who helped provide a $350 million leveraged loan to Avaya Holdings in June are working with advisers to explore their options after the company’s poor earnings and internal probes  https://t.co/LbnxUJghFb,bloomberg,0,0,0
Scientists say they've uncovered the strongest evidence yet that the continents were formed by giant meteorite impacts during the first billion years of Earth's existence  https://t.co/DvTTIgKlFS,bloomberg,0,0,0
"Big Oil executives have been quick to applaud parts of the $437 billion climate bill that Congress is poised to pass this week.  Their enthusiasm isn't shared by some smaller producers, which pump the vast majority of the crude and gas produced in the US   https://t.co/ATRMWD8l2S",bloomberg,0,0,0
Speed governor devices could help protect road users from motorists who defy posted limits.  Why won't US regulators demand them? (via @citylab)  https://t.co/Qd0ILHEVSH,bloomberg,0,0,0
"Bank of America plans to start fresh talks with investors next week to sell parts of a $15 billion debt financing for the buyout of Citrix Systems, the biggest deal in the pipeline and a bellwether for debt markets  https://t.co/5EbEFWKTXz",bloomberg,0,0,0
Is Tesla worth a lot or basically zero? Elon Musk is selling more shares before the answer is clear  https://t.co/q3IWGsPWHY,bloomberg,0,1,0
"Samsung unveils the latest generation of its foldable devices, keeping prices steady despite surging costs of materials and shipping  https://t.co/mq1Pcf2VIW",bloomberg,0,0,0
"Ireland's power grid is warning about tight electricity supplies for a second day, raising the risk of power cuts as concerns mount over energy shortages this winter  https://t.co/mwKfYry6IX",bloomberg,0,0,0
"Natural gas overtakes nuclear as the biggest source of power in Europe in July, highlighting the challenge of replacing the fuel ahead of winter when supply will get more scarce  https://t.co/cRNt9pbbBN",bloomberg,0,0,0
Several energy companies have already adopted an unorthodox interpretation of EPA rules to slash their reported methane emissions (via @climate)  https://t.co/igSdCTbBnh,bloomberg,0,0,0
"Hon Hai Precision, the maker of most of the world’s iPhones, posts a profit that beat estimates as demand for its cloud products helped it weather supply-chain snarls and sluggish smartphone demand  https://t.co/ux7zHCf0YL",bloomberg,0,0,0
"SoftBank expects to post a $34.1 billion gain from settling forward contracts for Alibaba stock, a far larger windfall than previously reported  https://t.co/JxmQnGdd4B",bloomberg,0,0,0
The Tencent-backed Chinese health information provider has had at least five of its social media accounts frozen by what appears to be government censors  https://t.co/NoSzHzpDV9,bloomberg,0,0,0
Nigeria has shown the most interest in cryptocurrencies compared to any other country since the digital assets began to decline in April  https://t.co/ievG7IE767,bloomberg,0,0,0
